id;sinistre_id;cga_police_id;cga_vehicule_id;cga_assure_id;date;numeroDuSinistre;dateDeSurvenanceDuSinistre;heureSurvanceDusinistre;dateOuvertureDuSinistre;lieuDuSinistre;identificationTiers;pourcentadeDeResponsabilite;numeroDePoliceCompagnieAdverse;codeCompagnieAdverse;porcentageCompagnieAdverse;numeroImmatriculationVehiculeAdverse;typeImmatriculationVehiculeAdverse;mouvementDusinistre;natureDuSinistre;Calculer_Sinistre
37;37;174777;12270;144778;NULL;S180019371;2018-02-18;0;2018-02-21;;;100;10/100426763;11;0;3410TU69;TU;3;M;0
38;38;174787;166166;144788;NULL;S170098331;2017-08-05;0;2017-08-16;;;0;0617504161510;14;0;RS133504;RS;3;M;0
39;39;174803;13469;97063;NULL;S170016601;2017-01-30;0;2017-02-17;;;100;201650000051714;01;0;3314TU190;TU;3;M;0
40;40;174807;13927;144807;NULL;S180005091;2018-01-19;0;2018-01-22;;;0;504075210;14;0;870TU155;TU;3;M;0
41;41;174811;14237;144811;NULL;S170080291;2017-07-09;0;2017-07-10;;;100;0101160005621;04;0;9505TU193;TU;3;M;0
42;42;174812;166180;144812;NULL;S170163481;2017-12-28;0;2018-01-03;;;100;3550269;02;0;6159TU179;TU;3;M;0
44;44;174818;13664;144818;NULL;S170073231;2017-06-09;0;2017-06-20;;;100;755817;;0;3886TU192;TU;3;M;0
45;45;174832;15625;144832;NULL;S170059971;2017-05-22;0;2017-05-22;;;100;010204000024;04;0;9446TU153;TU;3;M;0
47;47;174837;17689;144837;NULL;S170138161;2017-11-10;0;2017-11-14;;;0;011102001995;10;0;7086TU92;TU;3;M;0
48;48;174840;17956;144840;NULL;S170110341;2017-09-07;0;2017-09-13;;;100;20170651853;09;0;6122TU145;TU;3;M;0
49;49;174841;17479;144841;NULL;S170115451;2017-09-04;0;2017-09-26;;;0;1256824;07;0;02-207734;-;3;M;0
50;50;174850;15737;144850;NULL;S170023221;2017-02-28;0;2017-03-06;;;0;110254252;10;0;7368TU111;TU;3;M;0
52;52;174852;17783;144852;NULL;S170084361;2017-07-06;0;2017-07-18;;;100;0101170001611;04;0;NULL;RS;3;M;0
53;53;174858;18946;144858;NULL;S170050181;2017-04-28;0;2017-05-02;;;0;1001020140560;15;0;NULL;RS;3;M;0
54;54;174864;19048;144864;NULL;S170135801;2017-09-27;0;2017-11-08;;;100;F35082;12;0;4887TU199;TU;3;M;0
56;56;771010;618864;301091;NULL;S160149538;2016-12-29;0;2017-01-02;;;100;760091;02;0;193TU182;TU;3;M;0
57;57;771010;618895;301091;NULL;S170002238;2017-01-12;0;2017-01-13;;;100;139000513/5;06;0;7308TU160;TU;3;M;0
58;58;771010;618868;301091;NULL;S170011148;2017-02-02;0;2017-02-06;;;100;504169500;14;0;4143TU182;TU;3;M;0
59;59;771010;618786;301091;NULL;S170016258;2017-02-06;0;2017-02-16;;;100;055N00005931;14;0;4208TU139;TU;3;M;0
61;61;771010;618888;301091;NULL;S170047488;2017-04-25;0;2017-04-25;;;100;201201133203;09;0;RS124553;RS;3;M;0
62;62;771010;618847;301091;NULL;S170053018;2017-04-21;0;2017-05-08;;;100;555244325;14;0;3436TU95;TU;3;M;0
64;64;771010;618840;301091;NULL;S170060208;2017-05-18;0;2017-05-22;;;100;555076609;14;0;9990TU122;TU;3;M;0
66;66;771010;618960;301091;NULL;S170064218;2017-05-29;0;2017-05-30;;;100;2016301046002;;0;3645TU156;TU;3;M;0
68;68;771010;618895;301091;NULL;S170067428;2017-05-21;0;2017-06-07;;;100;199801004971;09;0;7323TU184;TU;3;M;0
70;70;771010;618835;301091;NULL;S170072358;2017-01-24;0;2017-06-20;;;100;5541100004242;14;0;NULL;TU;3;M;0
71;71;771010;618853;301091;NULL;S170075488;2017-06-18;0;2017-06-28;;;100;20155003315817;01;0;7098TU44;TU;3;M;0
72;72;771010;618961;301091;NULL;S170077978;2017-07-04;0;2017-07-04;;;100;20045003056015;01;0;7604TU172;TU;3;M;0
73;73;771010;618950;301091;NULL;S170084478;2017-07-17;0;2017-07-18;;;100;201401115327;09;0;9739TU173;TU;3;M;0
74;74;771010;618864;301091;NULL;S170087478;2017-07-24;0;2017-07-26;;;100;10050001284;08;0;669TU175;TU;3;M;0
75;75;771010;618863;301091;NULL;S170088068;2017-07-26;0;2017-07-27;;;100;2501590;07;0;NULL;TRAC;3;M;0
76;76;771010;618790;301091;NULL;S170099298;2017-08-14;0;2017-08-18;;;0;17/0000492;03;0;966TU196;TU;3;M;0
77;77;771010;618963;301091;NULL;S170100798;2017-07-30;0;2017-08-23;;;100;504039069;14;0;8824TU149;TU;3;M;0
78;78;771010;618819;301091;NULL;S170107058;2017-09-04;0;2017-09-07;;;100;20065.0312490/8;01;0;2192TU140;TU;3;M;0
